site,type,tmp_id,brw_count,species,visit,Stage,wpt,brw,lat,lon,elevation,time,date,width,height,diggings,smell,feathers,scat,nest_mat,chick_down,eggshell,runway,recent_sign,contents,cam_content,bs_content,pb_content,ctrap_content,status,est_vs_status_cam,est_vs_status_bs,In or out of site,playback_resp,obs_method,Burrow marker type,Notes,Burrowscoper
PLA2,AP,,1,,1,Incubation,1323,AP203,-54.58739502,158.894076,171.026917,3:05:43,3/01/2018,10,7,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,2,Antarctic Prion,1,Incubation,1314,AP204,-54.58733199,158.894074,171.107483,2:46:02,3/01/2018,23,12,n,n,n,n,n,n,n,,,E,,,,,,,,,N,,,,
PLA2,AP,,2,Antarctic Prion,2,Early chick rearing,,AP204,,,,,21/02/2018,,,n,n,n,n,n,n,n,,,0,,,,,,,,,,BS,,,
PLA1.5,AP,,1,,1,Incubation,1335,AP205,-54.587636,158.894497,171.237473,3:36:12,3/01/2018,15,12,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLA2,AP,,1,,1,Incubation,1318,AP206,-54.587362,158.894067,170.186218,2:56:49,3/01/2018,14,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLAB2,AP,,1,,1,Incubation,1424,AP208,-54.58809298,158.893938,177.453003,6:20:20,3/01/2018,19,12,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC2,AP,,1,,1,Incubation,1412,AP210,-54.58793096,158.893198,185.493454,5:51:38,3/01/2018,13,7,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,,1,Incubation,1404,AP213,-54.58823397,158.893331,183.364029,5:36:30,3/01/2018,12,13,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLAB2,AP,,1,,1,Incubation,1423,AP214,-54.58808896,158.893938,179.909637,6:19:30,3/01/2018,18,14,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLAB2,AP,,1,,1,Incubation,1419,AP215,-54.58778604,158.893623,183.715332,6:11:18,3/01/2018,12,8,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC2,AP,,1,,1,Incubation,1410,AP217,-54.587895,158.893168,187.157898,5:49:53,3/01/2018,50,13,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
